U.S. metropolitan areas,2012,2013,avg
"Flint, MI",12 100,12 369,"12234,5"
"Florence, SC",7 241,7 709,7475
"Florence-Muscle Shoals, AL",4 520,4 502,4511
"Fond du Lac, WI",4 102,4 243,"4172,5"
"Fort Collins, CO",13 004,14 114,13559
"Fort Smith, AR-OK",9 871,10 097,9984
"Fort Wayne, IN",18 586,18 795,"18690,5"
"Fresno, CA",33 944,36 140,35042
"Gadsden, AL",2 699,2 652,"2675,5"
"Gainesville, FL",10 950,11 746,11348
"Gainesville, GA",7 119,7 185,7152
"Gettysburg, PA",2 783,2 919,2851
"Glens Falls, NY",4 621,4 643,4632
"Goldsboro, NC",4 243,4 330,"4286,5"
"Grand Forks, ND-MN",4 640,4 912,4776
"Grand Island, NE",3 951,4 041,3996
"Grand Junction, CO",5 159,5 179,5169
"Grand Rapids-Wyoming, MI",46 406,49 187,"47796,5"
"Grants Pass, OR",1 976,1 948,1962
"Great Falls, MT",3 110,3 102,3106
"Greeley, CO",8 723,9 332,"9027,5"
"Green Bay, WI",16 326,16 652,16489
"Greensboro-High Point, NC",35 356,36 567,"35961,5"
"Greenville, NC",6 998,7 320,7159
"Greenville-Anderson-Mauldin, SC",33 367,34 669,34018
"Gulfport-Biloxi-Pascagoula, MS",17 173,16 445,16809
"Hagerstown-Martinsburg, MD-WV",8 533,8 846,"8689,5"
"Hammond, LA",3 795,3 651,3723
"Hanford-Corcoran, CA",4 794,4 907,"4850,5"
"Harrisburg-Carlisle, PA",31 675,32 544,"32109,5"
"Harrisonburg, VA",7 219,7 340,"7279,5"
"Hartford-West Hartford-East Hartford, CT",82 791,82 699,82745
"Hattiesburg, MS",5 237,5 316,"5276,5"
"Hickory-Lenoir-Morganton, NC",11 657,11 867,11762
"Hilton Head Island-Bluffton-Beaufort, SC",7 557,7 783,7670
"Hinesville, GA",3 514,3 593,"3553,5"
"Homosassa Springs, FL",3 198,3 087,"3142,5"
"Hot Springs, AR",3 044,2 869,"2956,5"
"Houma-Thibodaux, LA",11 497,11 528,"11512,5"
"Houston-The Woodlands-Sugar Land, TX",462 299,488 430,"475364,5"
"Huntington-Ashland, WV-KY-OH",13 991,14 853,14422
"Huntsville, AL",22 328,22 534,22431
"Idaho Falls, ID",5 444,5 522,5483
"Indianapolis-Carmel-Anderson, IN",116 257,123 565,119911
"Iowa City, IA",8 635,9 020,"8827,5"
"Ithaca, NY",4 681,4 778,"4729,5"
"Jackson, MI",5 327,5 801,5564
"Jackson, MS",26 574,27 332,26953
"Jackson, TN",5 878,5 788,5833
"Jacksonville, FL",58 519,62 166,"60342,5"
"Jacksonville, NC",7 869,7 859,7864
"Janesville-Beloit, WI",5 432,5 816,5624
"Jefferson City, MO",6 272,6 744,6508
"Johnson City, TN",6 292,6 279,"6285,5"
"Johnstown, PA",4 182,4 211,"4196,5"
"Jonesboro, AR",4 607,4 781,4694
"Joplin, MO",6 533,6 744,"6638,5"
"Kahului-Wailuku-Lahaina, HI",7 425,7 658,"7541,5"
"Kalamazoo-Portage, MI",13 488,14 003,"13745,5"
"Kankakee, IL",3 710,3 743,"3726,5"
"Kansas City, MO-KS",112 028,115 711,"113869,5"
"Kennewick-Richland, WA",11 492,11 503,"11497,5"
"Killeen-Temple, TX",16 135,15 981,16058
"Kingsport-Bristol-Bristol, TN-VA",12 210,12 063,"12136,5"
"Kingston, NY",5 462,5 610,5536
"Knoxville, TN",34 488,34 875,"34681,5"
"Kokomo, IN",3 851,4 078,"3964,5"
"La Crosse-Onalaska, WI-MN",6 391,6 458,"6424,5"
"Lafayette, LA",27 817,26 920,"27368,5"
"Lafayette-West Lafayette, IN",8 963,9 093,9028
"Lake Charles, LA",14 893,13 497,14195
"Lake Havasu City-Kingman, AZ",3 843,3 879,3861
"Lakeland-Winter Haven, FL",17 664,18 449,"18056,5"
"Lancaster, PA",23 371,24 026,"23698,5"
"Lansing-East Lansing, MI",18 974,19 315,"19144,5"
"Laredo, TX",7 718,7 775,"7746,5"
"Las Cruces, NM",6 358,6 292,6325
"Las Vegas-Henderson-Paradise, NV",87 098,90 426,88762
"Lawrence, KS",3 802,3 895,"3848,5"
"Lawton, OK",4 652,4 775,"4713,5"
"Lebanon, PA",4 424,4 612,4518
"Lewiston, ID-WA",2 141,2 171,2156
"Lewiston-Auburn, ME",3 677,3 702,"3689,5"
"Lexington-Fayette, KY",24 536,25 241,"24888,5"
"Lima, OH",5 564,5 576,5570
"Lincoln, NE",16 615,17 332,"16973,5"
"Little Rock-North Little Rock-Conway, AR",35 403,35 050,"35226,5"
"Logan, UT-ID",4 207,4 205,4206
"Longview, TX",11 090,11 292,11191
"Longview, WA",3 589,3 801,3695
"Los Angeles-Long Beach-Anaheim, CA",820 863,852 034,"836448,5"
"Louisville/Jefferson County, KY-IN",61 813,62 910,"62361,5"
"Lubbock, TX",11 332,12 254,11793
"Lynchburg, VA",8 697,8 882,"8789,5"
"Macon, GA",8 264,8 642,8453
