Date,fuel_price
2009-01-02,1.51
2009-01-05,1.586
2009-01-06,1.648
2009-01-07,1.588
2009-01-08,1.557
2009-01-09,1.52
2009-01-12,1.511
2009-01-13,1.548
2009-01-14,1.491
2009-01-15,1.485
2009-01-16,1.462
2009-01-20,1.398
2009-01-21,1.396
2009-01-22,1.312
2009-01-23,1.409
2009-01-26,1.398
2009-01-27,1.357
2009-01-28,1.399
2009-01-29,1.397
2009-01-30,1.416
2009-02-02,1.35
2009-02-03,1.301
2009-02-04,1.315
2009-02-05,1.35
2009-02-06,1.33
2009-02-09,1.322
2009-02-10,1.268
2009-02-11,1.283
2009-02-12,1.303
2009-02-13,1.283
2009-02-17,1.162
2009-02-18,1.13
2009-02-19,1.195
2009-02-20,1.194
2009-02-23,1.169
2009-02-24,1.204
2009-02-25,1.233
2009-02-26,1.275
2009-02-27,1.265
2009-03-02,1.132
2009-03-03,1.156
2009-03-04,1.18
2009-03-05,1.134
2009-03-06,1.206
2009-03-09,1.194
2009-03-10,1.173
2009-03-11,1.111
2009-03-12,1.192
2009-03-13,1.17
2009-03-16,1.183
2009-03-17,1.225
2009-03-18,1.249
2009-03-19,1.305
2009-03-20,1.342
2009-03-23,1.448
2009-03-24,1.462
2009-03-25,1.457
2009-03-26,1.47
2009-03-27,1.422
2009-03-30,1.336
2009-03-31,1.341
2009-04-01,1.336
2009-04-02,1.453
2009-04-03,1.436
2009-04-06,1.426
2009-04-07,1.39
2009-04-08,1.411
2009-04-09,1.424
2009-04-13,1.398
2009-04-14,1.4
2009-04-15,1.411
2009-04-16,1.421
2009-04-17,1.426
2009-04-20,1.332
2009-04-21,1.339
2009-04-22,1.318
2009-04-23,1.3
2009-04-24,1.347
2009-04-27,1.304
2009-04-28,1.288
2009-04-29,1.303
2009-04-30,1.294
2009-05-01,1.381
2009-05-04,1.395
2009-05-05,1.385
2009-05-06,1.441
2009-05-07,1.45
2009-05-08,1.491
2009-05-11,1.467
2009-05-12,1.495
2009-05-13,1.475
2009-05-14,1.472
2009-05-15,1.412
2009-05-18,1.471
